tweet_id,text,favorite_count,retweet_count,created_at
1389566279527411714,"The stone dates to 1819 ‘The Belgian farmer, apparently annoyed by the stone in his tractor's path, had moved it in… https://t.co/NNFBk8VLuG",0,0,Tue May 04 13:03:12 +0000 2021
1389566111931318278,"RT @chelywright: I came out of the closet that nearly killed me 11 years ago.
I made a decision to lead every conversation for the rest of…",0,11,Tue May 04 13:02:32 +0000 2021
1389566108450107394,UK travel industry shares climb as hopes rise for green light on holidays abroad https://t.co/V4HafLSaEa,4,0,Tue May 04 13:02:31 +0000 2021
1389566008449454083,A portrait of FDR hangs opposite Joe Biden’s desk in the Oval Office. Can the new president live up to his hero? On… https://t.co/x5U2AZpxYd,2,2,Tue May 04 13:02:07 +0000 2021
1389565994415370242,"RT @samuelhabte: @jeru13954205 @FBedaso @NeaminZeleke If you knew the facts there, you don't ask for one. So learn them;
1. Deep down she i…",0,1,Tue May 04 13:02:04 +0000 2021
1389565959057313798,"A group of 19 lawyers, scholars, activists and journalists from around the world will announce on Wednesday whether… https://t.co/E6QtMAK7SR",0,3,Tue May 04 13:01:56 +0000 2021
1389565949230125059,"Tucker Carlson  is being fed oppo about and is denouncing Kevin McCarthy, the man who wants to be speaker of the Ho… https://t.co/d3sxpucfgv",3,1,Tue May 04 13:01:53 +0000 2021
1389565917902823425,"""Protesters demanded justice for Nina Pop. A year after her death, what happened to everyone saying Black trans liv… https://t.co/Yz0TYAv388",13,3,Tue May 04 13:01:46 +0000 2021
1389565743784726531,Forecasters said much of the South could see more severe weather Tuesday. Tornadoes struck parts of the region Sund… https://t.co/t5Q12toTdE,10,4,Tue May 04 13:01:04 +0000 2021
1389565724780154882,".@FLOTUS: ""We need two years of free community college."" https://t.co/BtMNRas3M9",24,8,Tue May 04 13:01:00 +0000 2021
1389565649249357825,"""We failed these brave young men."" https://t.co/T5MRskdoXZ",13,3,Tue May 04 13:00:42 +0000 2021
1389565572623618049,RT @stesfamariam: @LanderMiddle @NeaminZeleke It may be a blessing in disguise-a break from racist &amp; unequal ties. Africans should not seek…,0,4,Tue May 04 13:00:24 +0000 2021
1389565529267089408,Explainer: Scotland’s difficult route to another independence referendum https://t.co/rO9AgCgShQ https://t.co/SochhQvkZF,10,2,Tue May 04 13:00:13 +0000 2021
1389565518697336835,"News Analysis: The increasing racial diversity among U.S. voters isn’t helping Democrats as much as many expected,… https://t.co/jTBEeZxrLm",21,4,Tue May 04 13:00:11 +0000 2021
1389565517854396422,Online videos might suggest dogs can communicate using buttons linked to words. “The Intelligence” asks @lanegreene… https://t.co/1LYaE4t52I,2,3,Tue May 04 13:00:10 +0000 2021
1389565496413011970,Swiss diplomat in Iran found dead after fall from high-rise https://t.co/PNr3apdq2e,7,4,Tue May 04 13:00:05 +0000 2021
1389565481602977794,RT @stesfamariam: @NafyadWakjira @NeaminZeleke @AbiyAhmedAli @iyoba4u @dejene_2011 @EA_DevCouncil @henokgabisa @seyoum_teshome @NatnaelMeko…,0,1,Tue May 04 13:00:02 +0000 2021
1389565480080392192,RT @derek8185338005: europeans don't understand is that the united states is twice the size of Belgium and would easily stretch from southe…,0,374,Tue May 04 13:00:01 +0000 2021
1389565475734966281,"Billionaires Bill and Melinda Gates have decided to seek a divorce, the couple said in a joint announcement. The co… https://t.co/K77b6xE16v",12,6,Tue May 04 13:00:00 +0000 2021
1389565474736902145,"The #PumpRules couple has shared all of their ups and downs with viewers, but now they're telling Bravo Insider all… https://t.co/2QNPlOUMk2",2,0,Tue May 04 13:00:00 +0000 2021
1389565410836635664,https://t.co/5bvADZHo0N https://t.co/xNWMawE1yU,2,0,Tue May 04 12:59:45 +0000 2021
1389565348526002181,STARTING NOW: @ABCNewsLive has the latest headlines from across the globe. @dianermacedo anchors: https://t.co/a3H8lMzT6M,11,5,Tue May 04 12:59:30 +0000 2021
1389565300547493888,"RT @BishuEthiopia: @NeaminZeleke @France24_en The #TPLF activist is paid and trained big time just to tell lies about #Ethiopia🇪🇹. 
It is n…",0,1,Tue May 04 12:59:19 +0000 2021
1389565200437764103,"Lumber prices are breaking new records, leading to huge profits for sawmill owners and rising costs for home buyers… https://t.co/JM3cTr93Eo",13,7,Tue May 04 12:58:55 +0000 2021
1389565199401762816,RT @ZelalemMU: @MBGTigray @NeaminZeleke @henokgabisa Your Meaza appealed again and again over  about reconciliation and all inclusive talks…,0,1,Tue May 04 12:58:55 +0000 2021
1389565106779009026,https://t.co/OZlybOxSQf https://t.co/e1Ig6DEjft,3,1,Tue May 04 12:58:32 +0000 2021
1389565080354820100,"Potomac Gardens, Rosedale/Langston Carver, Greenway/Fort Dupont, Marshall Heights/Benning Ridge, Washington Highlan… https://t.co/bpoCa2JxFA",1,1,Tue May 04 12:58:26 +0000 2021
1389564992903602176,"DeSantis suspends all of Florida's remaining COVID-19 restrictions, calling it ""the evidence-based thing to do""… https://t.co/5hfnWu0KlW",21,6,Tue May 04 12:58:05 +0000 2021
1389564849168994305,RT @TArayaGarza: @iyoba4u @NeaminZeleke @EthiopiansE @NoRoom4FakeNews @yemiab @hawelti @EritreaStruggle @john_jtzegai @MarthyEri #TPLF mean…,0,1,Tue May 04 12:57:31 +0000 2021
1389564803845443590,"""Win or lose, this is a fight Republican Rep. Liz Cheney is not shying away from,"" @GloriaBorger writes. ""As she ha… https://t.co/zAchb57Ebw",198,38,Tue May 04 12:57:20 +0000 2021
1389564736077959170,DEVELOPING: India halted its most popular sports tournament on Tuesday amid calls for a nationwide lockdown as the… https://t.co/NU70RYUBwq,28,10,Tue May 04 12:57:04 +0000 2021
1389564518573948929,RT @unsuckdcmetro: Will Metro confirm that GM Wiedefeld doesn't have a reserved parking space at the new HQ?,0,4,Tue May 04 12:56:12 +0000 2021
1389564507459043334,"Compared to previous 30-year periods, the climate has turned unambiguously warmer https://t.co/vyZZyViKDw",68,37,Tue May 04 12:56:10 +0000 2021
1389564244849565703,"Capri, Italy's blue island, emerges from the pandemic blues https://t.co/Ev0jZ3olPD https://t.co/ShnMlZoVH1",66,15,Tue May 04 12:55:07 +0000 2021
1389564230156881921,"Giuliani claims federal investigators ""trying to frame"" him after his home and office were raided… https://t.co/eFnwNsjMLm",19,10,Tue May 04 12:55:03 +0000 2021
